week,record,n_wins,n_loses,team,year,n_ties,rank
4,1-2,1,2,Indianapolis Colts,2012,0,31
3,1-2,1,2,Indianapolis Colts,2012,0,31
2,1-1,1,1,Indianapolis Colts,2012,0,27
1,0-1,0,1,Indianapolis Colts,2012,0,32
0,2-14,2,14,Indianapolis Colts,2012,0,32
Preseason,2-14,2,14,Indianapolis Colts,2012,0,32
17,11-5,11,5,Indianapolis Colts,2013,0,8
16,10-5,10,5,Indianapolis Colts,2013,0,8
15,9-5,9,5,Indianapolis Colts,2013,0,10
14,8-5,8,5,Indianapolis Colts,2013,0,11
13,8-4,8,4,Indianapolis Colts,2013,0,9
12,7-4,7,4,Indianapolis Colts,2013,0,10
11,7-3,7,3,Indianapolis Colts,2013,0,7
10,6-3,6,3,Indianapolis Colts,2013,0,7
9,6-2,6,2,Indianapolis Colts,2013,0,2
8,5-2,5,2,Indianapolis Colts,2013,0,3
7,5-2,5,2,Indianapolis Colts,2013,0,2
6,4-2,4,2,Indianapolis Colts,2013,0,6
5,4-1,4,1,Indianapolis Colts,2013,0,4
4,3-1,3,1,Indianapolis Colts,2013,0,6
3,2-1,2,1,Indianapolis Colts,2013,0,9
2,1-1,1,1,Indianapolis Colts,2013,0,14
1,1-0,1,0,Indianapolis Colts,2013,0,12
0,11-5,11,5,Indianapolis Colts,2013,0,11
Preseason,10-6,10,6,Indianapolis Colts,2013,0,10
17,11-5,11,5,Indianapolis Colts,2014,0,8
16,10-5,10,5,Indianapolis Colts,2014,0,10
15,10-4,10,4,Indianapolis Colts,2014,0,7
14,9-4,9,4,Indianapolis Colts,2014,0,6
13,8-4,8,4,Indianapolis Colts,2014,0,6
12,7-4,7,4,Indianapolis Colts,2014,0,8
11,6-4,6,4,Indianapolis Colts,2014,0,9
10,6-3,6,3,Indianapolis Colts,2014,0,7
9,6-3,6,3,Indianapolis Colts,2014,0,5
8,5-3,5,3,Indianapolis Colts,2014,0,9
7,5-2,5,2,Indianapolis Colts,2014,0,4
6,4-2,4,2,Indianapolis Colts,2014,0,8
5,3-2,3,2,Indianapolis Colts,2014,0,8
4,2-2,2,2,Indianapolis Colts,2014,0,11
3,1-2,1,2,Indianapolis Colts,2014,0,14
2,0-2,0,2,Indianapolis Colts,2014,0,15
1,0-1,0,1,Indianapolis Colts,2014,0,10
0,11-5,11,5,Indianapolis Colts,2014,0,8
Preseason,11-5,11,5,Indianapolis Colts,2014,0,7
17,8-8,8,8,Indianapolis Colts,2015,0,17
16,7-8,7,8,Indianapolis Colts,2015,0,18
15,6-8,6,8,Indianapolis Colts,2015,0,21
14,6-7,6,7,Indianapolis Colts,2015,0,20
13,6-6,6,6,Indianapolis Colts,2015,0,16
12,6-5,6,5,Indianapolis Colts,2015,0,14
11,5-5,5,5,Indianapolis Colts,2015,0,10
10,4-5,4,5,Indianapolis Colts,2015,0,17
9,4-5,4,5,Indianapolis Colts,2015,0,14
8,3-5,3,5,Indianapolis Colts,2015,0,22
7,3-4,3,4,Indianapolis Colts,2015,0,18
6,3-3,3,3,Indianapolis Colts,2015,0,11
5,3-2,3,2,Indianapolis Colts,2015,0,13
4,2-2,2,2,Indianapolis Colts,2015,0,16
3,1-2,1,2,Indianapolis Colts,2015,0,14
2,0-2,0,2,Indianapolis Colts,2015,0,18
1,0-1,0,1,Indianapolis Colts,2015,0,11
0,11-5,11,5,Indianapolis Colts,2015,0,4
Preseason,11-5,11,5,Indianapolis Colts,2015,0,5
17,8-8,8,8,Jacksonville Jaguars,2006,0,17
16,8-7,8,7,Jacksonville Jaguars,2006,0,13
15,8-6,8,6,Jacksonville Jaguars,2006,0,12
14,8-5,8,5,Jacksonville Jaguars,2006,0,9
13,7-5,7,5,Jacksonville Jaguars,2006,0,10
12,6-5,6,5,Jacksonville Jaguars,2006,0,13
11,6-4,6,4,Jacksonville Jaguars,2006,0,9
10,5-4,5,4,Jacksonville Jaguars,2006,0,16
9,5-3,5,3,Jacksonville Jaguars,2006,0,10
8,4-3,4,3,Jacksonville Jaguars,2006,0,12
7,3-3,3,3,Jacksonville Jaguars,2006,0,16
6,3-2,3,2,Jacksonville Jaguars,2006,0,13
5,3-2,3,2,Jacksonville Jaguars,2006,0,11
4,2-2,2,2,Jacksonville Jaguars,2006,0,12
3,2-1,2,1,Jacksonville Jaguars,2006,0,7
2,2-0,2,0,Jacksonville Jaguars,2006,0,4
1,1-0,1,0,Jacksonville Jaguars,2006,0,5
0,12-4,12,4,Jacksonville Jaguars,2006,0,11
Preseason,12-4,12,4,Jacksonville Jaguars,2006,0,12
17,5-11,5,11,Jacksonville Jaguars,2008,0,25
16,5-10,5,10,Jacksonville Jaguars,2008,0,25
15,5-9,5,9,Jacksonville Jaguars,2008,0,23
14,4-9,4,9,Jacksonville Jaguars,2008,0,25
13,4-8,4,8,Jacksonville Jaguars,2008,0,24
12,4-7,4,7,Jacksonville Jaguars,2008,0,24
11,4-6,4,6,Jacksonville Jaguars,2008,0,23
10,4-5,4,5,Jacksonville Jaguars,2008,0,22
9,3-5,3,5,Jacksonville Jaguars,2008,0,23
8,3-4,3,4,Jacksonville Jaguars,2008,0,20
7,3-3,3,3,Jacksonville Jaguars,2008,0,12
6,3-3,3,3,Jacksonville Jaguars,2008,0,14
5,2-3,2,3,Jacksonville Jaguars,2008,0,17
4,2-2,2,2,Jacksonville Jaguars,2008,0,12
3,1-2,1,2,Jacksonville Jaguars,2008,0,14
2,0-2,0,2,Jacksonville Jaguars,2008,0,18
1,0-1,0,1,Jacksonville Jaguars,2008,0,10
0,11-5,11,5,Jacksonville Jaguars,2008,0,5
Preseason,11-5,11,5,Jacksonville Jaguars,2008,0,5
17,7-9,7,9,Jacksonville Jaguars,2009,0,23
16,7-8,7,8,Jacksonville Jaguars,2009,0,22
15,7-7,7,7,Jacksonville Jaguars,2009,0,18
14,7-6,7,6,Jacksonville Jaguars,2009,0,15
13,7-5,7,5,Jacksonville Jaguars,2009,0,13
12,6-5,6,5,Jacksonville Jaguars,2009,0,17
11,6-4,6,4,Jacksonville Jaguars,2009,0,14
10,5-4,5,4,Jacksonville Jaguars,2009,0,17
9,4-4,4,4,Jacksonville Jaguars,2009,0,22
8,3-4,3,4,Jacksonville Jaguars,2009,0,21
7,3-3,3,3,Jacksonville Jaguars,2009,0,21
6,3-3,3,3,Jacksonville Jaguars,2009,0,21
5,2-3,2,3,Jacksonville Jaguars,2009,0,21
4,2-2,2,2,Jacksonville Jaguars,2009,0,18
3,1-2,1,2,Jacksonville Jaguars,2009,0,22
2,0-2,0,2,Jacksonville Jaguars,2009,0,27
1,0-1,0,1,Jacksonville Jaguars,2009,0,25
0,5-11,5,11,Jacksonville Jaguars,2009,0,25
Preseason,5-11,5,11,Jacksonville Jaguars,2009,0,25
17,8-8,8,8,Jacksonville Jaguars,2010,0,16
16,8-7,8,7,Jacksonville Jaguars,2010,0,15
15,8-6,8,6,Jacksonville Jaguars,2010,0,14
14,8-5,8,5,Jacksonville Jaguars,2010,0,11
13,7-5,7,5,Jacksonville Jaguars,2010,0,12
12,6-5,6,5,Jacksonville Jaguars,2010,0,16
11,6-4,6,4,Jacksonville Jaguars,2010,0,15
10,5-4,5,4,Jacksonville Jaguars,2010,0,18
9,4-4,4,4,Jacksonville Jaguars,2010,0,20
8,4-4,4,4,Jacksonville Jaguars,2010,0,19
7,3-4,3,4,Jacksonville Jaguars,2010,0,25
6,3-3,3,3,Jacksonville Jaguars,2010,0,25
5,3-2,3,2,Jacksonville Jaguars,2010,0,18
4,2-2,2,2,Jacksonville Jaguars,2010,0,22
3,1-2,1,2,Jacksonville Jaguars,2010,0,26
2,1-1,1,1,Jacksonville Jaguars,2010,0,25
1,1-0,1,0,Jacksonville Jaguars,2010,0,24
0,7-9,7,9,Jacksonville Jaguars,2010,0,25
Preseason,7-9,7,9,Jacksonville Jaguars,2010,0,26
17,5-11,5,11,Jacksonville Jaguars,2011,0,27
16,4-11,4,11,Jacksonville Jaguars,2011,0,27
15,4-10,4,10,Jacksonville Jaguars,2011,0,27
14,4-9,4,9,Jacksonville Jaguars,2011,0,26
13,3-9,3,9,Jacksonville Jaguars,2011,0,29
12,3-8,3,8,Jacksonville Jaguars,2011,0,29
11,3-7,3,7,Jacksonville Jaguars,2011,0,28
10,3-6,3,6,Jacksonville Jaguars,2011,0,25
9,2-6,2,6,Jacksonville Jaguars,2011,0,27
8,2-6,2,6,Jacksonville Jaguars,2011,0,26
7,2-5,2,5,Jacksonville Jaguars,2011,0,25
6,1-5,1,5,Jacksonville Jaguars,2011,0,29
5,1-4,1,4,Jacksonville Jaguars,2011,0,29
4,1-3,1,3,Jacksonville Jaguars,2011,0,26
3,1-2,1,2,Jacksonville Jaguars,2011,0,25
2,1-1,1,1,Jacksonville Jaguars,2011,0,21
1,1-0,1,0,Jacksonville Jaguars,2011,0,15
0,8-8,8,8,Jacksonville Jaguars,2011,0,19
Preseason,8-8,8,8,Jacksonville Jaguars,2011,0,22
17,4-12,4,12,Jacksonville Jaguars,2013,0,29
16,4-11,4,11,Jacksonville Jaguars,2013,0,29
15,4-10,4,10,Jacksonville Jaguars,2013,0,29
14,4-9,4,9,Jacksonville Jaguars,2013,0,29
13,3-9,3,9,Jacksonville Jaguars,2013,0,31
12,2-9,2,9,Jacksonville Jaguars,2013,0,31
11,1-9,1,9,Jacksonville Jaguars,2013,0,32
10,1-8,1,8,Jacksonville Jaguars,2013,0,32
9,0-8,0,8,Jacksonville Jaguars,2013,0,32
8,0-8,0,8,Jacksonville Jaguars,2013,0,32
7,0-7,0,7,Jacksonville Jaguars,2013,0,32
6,0-6,0,6,Jacksonville Jaguars,2013,0,32
5,0-5,0,5,Jacksonville Jaguars,2013,0,32
4,0-4,0,4,Jacksonville Jaguars,2013,0,32
3,0-3,0,3,Jacksonville Jaguars,2013,0,32
2,0-2,0,2,Jacksonville Jaguars,2013,0,32
1,0-1,0,1,Jacksonville Jaguars,2013,0,32
0,2-14,2,14,Jacksonville Jaguars,2013,0,29
Preseason,2-14,2,14,Jacksonville Jaguars,2013,0,31
17,2-14,2,14,Jacksonville Jaguars,2012,0,31
16,2-13,2,13,Jacksonville Jaguars,2012,0,31
15,2-12,2,12,Jacksonville Jaguars,2012,0,31
14,2-11,2,11,Jacksonville Jaguars,2012,0,31
13,2-10,2,10,Jacksonville Jaguars,2012,0,32
12,2-9,2,9,Jacksonville Jaguars,2012,0,31
11,1-9,1,9,Jacksonville Jaguars,2012,0,31
10,1-8,1,8,Jacksonville Jaguars,2012,0,31
9,1-7,1,7,Jacksonville Jaguars,2012,0,31
8,1-6,1,6,Jacksonville Jaguars,2012,0,31
7,1-5,1,5,Jacksonville Jaguars,2012,0,31
6,1-4,1,4,Jacksonville Jaguars,2012,0,31
5,1-4,1,4,Jacksonville Jaguars,2012,0,31
4,1-3,1,3,Jacksonville Jaguars,2012,0,30
3,1-2,1,2,Jacksonville Jaguars,2012,0,30
2,0-2,0,2,Jacksonville Jaguars,2012,0,31
1,0-1,0,1,Jacksonville Jaguars,2012,0,29
0,5-11,5,11,Jacksonville Jaguars,2012,0,29
Preseason,5-11,5,11,Jacksonville Jaguars,2012,0,28
17,11-5,11,5,Jacksonville Jaguars,2007,0,4
16,11-4,11,4,Jacksonville Jaguars,2007,0,4
15,10-4,10,4,Jacksonville Jaguars,2007,0,5
14,9-4,9,4,Jacksonville Jaguars,2007,0,5
13,8-4,8,4,Jacksonville Jaguars,2007,0,6
12,8-3,8,3,Jacksonville Jaguars,2007,0,5
11,7-3,7,3,Jacksonville Jaguars,2007,0,5
10,6-3,6,3,Jacksonville Jaguars,2007,0,6
9,5-3,5,3,Jacksonville Jaguars,2007,0,10
8,5-2,5,2,Jacksonville Jaguars,2007,0,8
7,4-2,4,2,Jacksonville Jaguars,2007,0,7
6,4-1,4,1,Jacksonville Jaguars,2007,0,5
5,3-1,3,1,Jacksonville Jaguars,2007,0,6
4,2-1,2,1,Jacksonville Jaguars,2007,0,8
3,2-1,2,1,Jacksonville Jaguars,2007,0,10
2,1-1,1,1,Jacksonville Jaguars,2007,0,17
1,0-1,0,1,Jacksonville Jaguars,2007,0,16
0,8-8,8,8,Jacksonville Jaguars,2007,0,12
Preseason,8-8,8,8,Jacksonville Jaguars,2007,0,14
17,3-13,3,13,Jacksonville Jaguars,2014,0,30
16,3-12,3,12,Jacksonville Jaguars,2014,0,30
15,2-12,2,12,Jacksonville Jaguars,2014,0,30
14,2-11,2,11,Jacksonville Jaguars,2014,0,31
13,2-10,2,10,Jacksonville Jaguars,2014,0,31
12,1-10,1,10,Jacksonville Jaguars,2014,0,32
11,1-9,1,9,Jacksonville Jaguars,2014,0,31
10,1-9,1,9,Jacksonville Jaguars,2014,0,31
9,1-8,1,8,Jacksonville Jaguars,2014,0,31
8,1-7,1,7,Jacksonville Jaguars,2014,0,31
7,1-6,1,6,Jacksonville Jaguars,2014,0,31
6,0-6,0,6,Jacksonville Jaguars,2014,0,32
5,0-5,0,5,Jacksonville Jaguars,2014,0,31
4,0-4,0,4,Jacksonville Jaguars,2014,0,31
3,0-3,0,3,Jacksonville Jaguars,2014,0,32
2,0-2,0,2,Jacksonville Jaguars,2014,0,31
1,0-1,0,1,Jacksonville Jaguars,2014,0,30
0,4-12,4,12,Jacksonville Jaguars,2014,0,31
Preseason,4-12,4,12,Jacksonville Jaguars,2014,0,30
17,5-11,5,11,Jacksonville Jaguars,2015,0,27
16,5-10,5,10,Jacksonville Jaguars,2015,0,26
15,5-9,5,9,Jacksonville Jaguars,2015,0,20
14,5-8,5,8,Jacksonville Jaguars,2015,0,21
13,4-8,4,8,Jacksonville Jaguars,2015,0,29
12,4-7,4,7,Jacksonville Jaguars,2015,0,28
11,4-6,4,6,Jacksonville Jaguars,2015,0,27
10,3-6,3,6,Jacksonville Jaguars,2015,0,26
9,2-6,2,6,Jacksonville Jaguars,2015,0,31
8,2-5,2,5,Jacksonville Jaguars,2015,0,29
7,2-5,2,5,Jacksonville Jaguars,2015,0,32
6,1-5,1,5,Jacksonville Jaguars,2015,0,32
5,1-4,1,4,Jacksonville Jaguars,2015,0,32
4,1-3,1,3,Jacksonville Jaguars,2015,0,31
3,1-2,1,2,Jacksonville Jaguars,2015,0,29
2,1-1,1,1,Jacksonville Jaguars,2015,0,31
1,0-1,0,1,Jacksonville Jaguars,2015,0,30
0,3-13,3,13,Jacksonville Jaguars,2015,0,31
Preseason,3-13,3,13,Jacksonville Jaguars,2015,0,30
17,9-7,9,7,Kansas City Chiefs,2006,0,10
16,8-7,8,7,Kansas City Chiefs,2006,0,14
15,7-7,7,7,Kansas City Chiefs,2006,0,19
14,7-6,7,6,Kansas City Chiefs,2006,0,15
13,7-5,7,5,Kansas City Chiefs,2006,0,12
12,7-4,7,4,Kansas City Chiefs,2006,0,7
11,6-4,6,4,Kansas City Chiefs,2006,0,10
10,5-4,5,4,Kansas City Chiefs,2006,0,13
9,5-3,5,3,Kansas City Chiefs,2006,0,11
8,4-3,4,3,Kansas City Chiefs,2006,0,14
7,3-3,3,3,Kansas City Chiefs,2006,0,19
6,2-3,2,3,Kansas City Chiefs,2006,0,20
5,2-2,2,2,Kansas City Chiefs,2006,0,19
4,1-2,1,2,Kansas City Chiefs,2006,0,22
3,0-2,0,2,Kansas City Chiefs,2006,0,24
2,0-2,0,2,Kansas City Chiefs,2006,0,26
1,0-1,0,1,Kansas City Chiefs,2006,0,22
0,10-6,10,6,Kansas City Chiefs,2006,0,20
Preseason,10-6,10,6,Kansas City Chiefs,2006,0,14
17,4-12,4,12,Kansas City Chiefs,2007,0,28
16,4-11,4,11,Kansas City Chiefs,2007,0,28
15,4-10,4,10,Kansas City Chiefs,2007,0,26
14,4-9,4,9,Kansas City Chiefs,2007,0,27
13,4-8,4,8,Kansas City Chiefs,2007,0,27
12,4-7,4,7,Kansas City Chiefs,2007,0,24
11,4-6,4,6,Kansas City Chiefs,2007,0,21
10,4-5,4,5,Kansas City Chiefs,2007,0,20
9,4-4,4,4,Kansas City Chiefs,2007,0,15
8,4-3,4,3,Kansas City Chiefs,2007,0,11
7,4-3,4,3,Kansas City Chiefs,2007,0,13
6,3-3,3,3,Kansas City Chiefs,2007,0,16
5,2-3,2,3,Kansas City Chiefs,2007,0,25
4,2-2,2,2,Kansas City Chiefs,2007,0,21
3,1-2,1,2,Kansas City Chiefs,2007,0,28
2,0-2,0,2,Kansas City Chiefs,2007,0,31
1,0-1,0,1,Kansas City Chiefs,2007,0,30
0,9-7,9,7,Kansas City Chiefs,2007,0,26
Preseason,9-7,9,7,Kansas City Chiefs,2007,0,20
17,7-9,7,9,Kansas City Chiefs,2011,0,22
16,6-9,6,9,Kansas City Chiefs,2011,0,23
15,6-8,6,8,Kansas City Chiefs,2011,0,22
14,5-8,5,8,Kansas City Chiefs,2011,0,25
13,5-7,5,7,Kansas City Chiefs,2011,0,23
12,4-7,4,7,Kansas City Chiefs,2011,0,21
11,4-6,4,6,Kansas City Chiefs,2011,0,22
10,4-5,4,5,Kansas City Chiefs,2011,0,21
9,4-4,4,4,Kansas City Chiefs,2011,0,19
8,4-3,4,3,Kansas City Chiefs,2011,0,18
7,3-3,3,3,Kansas City Chiefs,2011,0,21
6,2-3,2,3,Kansas City Chiefs,2011,0,24
5,2-3,2,3,Kansas City Chiefs,2011,0,25
4,1-3,1,3,Kansas City Chiefs,2011,0,28
3,0-3,0,3,Kansas City Chiefs,2011,0,32
2,0-2,0,2,Kansas City Chiefs,2011,0,31
1,0-1,0,1,Kansas City Chiefs,2011,0,21
0,10-6,10,6,Kansas City Chiefs,2011,0,18
Preseason,10-6,10,6,Kansas City Chiefs,2011,0,14
17,10-6,10,6,Kansas City Chiefs,2010,0,11
16,10-5,10,5,Kansas City Chiefs,2010,0,11
15,9-5,9,5,Kansas City Chiefs,2010,0,11
14,8-5,8,5,Kansas City Chiefs,2010,0,14
13,8-4,8,4,Kansas City Chiefs,2010,0,11
12,7-4,7,4,Kansas City Chiefs,2010,0,12
11,6-4,6,4,Kansas City Chiefs,2010,0,13
10,5-4,5,4,Kansas City Chiefs,2010,0,15
9,5-3,5,3,Kansas City Chiefs,2010,0,14
8,5-2,5,2,Kansas City Chiefs,2010,0,11
7,4-2,4,2,Kansas City Chiefs,2010,0,12
6,3-2,3,2,Kansas City Chiefs,2010,0,13
5,3-1,3,1,Kansas City Chiefs,2010,0,10
4,3-0,3,0,Kansas City Chiefs,2010,0,10
3,3-0,3,0,Kansas City Chiefs,2010,0,15
2,2-0,2,0,Kansas City Chiefs,2010,0,20
1,1-0,1,0,Kansas City Chiefs,2010,0,23
0,4-12,4,12,Kansas City Chiefs,2010,0,27
Preseason,4-12,4,12,Kansas City Chiefs,2010,0,27
17,2-14,2,14,Kansas City Chiefs,2008,0,30
16,2-13,2,13,Kansas City Chiefs,2008,0,30
15,2-12,2,12,Kansas City Chiefs,2008,0,28
14,2-11,2,11,Kansas City Chiefs,2008,0,27
13,2-10,2,10,Kansas City Chiefs,2008,0,27
12,1-10,1,10,Kansas City Chiefs,2008,0,31
11,1-9,1,9,Kansas City Chiefs,2008,0,30
10,1-8,1,8,Kansas City Chiefs,2008,0,29
9,1-7,1,7,Kansas City Chiefs,2008,0,31
8,1-6,1,6,Kansas City Chiefs,2008,0,30
7,1-5,1,5,Kansas City Chiefs,2008,0,30
6,1-4,1,4,Kansas City Chiefs,2008,0,30
5,1-4,1,4,Kansas City Chiefs,2008,0,29
4,1-3,1,3,Kansas City Chiefs,2008,0,29
3,0-3,0,3,Kansas City Chiefs,2008,0,31
2,0-2,0,2,Kansas City Chiefs,2008,0,31
1,0-1,0,1,Kansas City Chiefs,2008,0,29
0,4-12,4,12,Kansas City Chiefs,2008,0,31
Preseason,4-12,4,12,Kansas City Chiefs,2008,0,30
17,4-12,4,12,Kansas City Chiefs,2009,0,28
16,3-12,3,12,Kansas City Chiefs,2009,0,30
15,3-11,3,11,Kansas City Chiefs,2009,0,29
14,3-10,3,10,Kansas City Chiefs,2009,0,28
13,3-9,3,9,Kansas City Chiefs,2009,0,28
12,3-8,3,8,Kansas City Chiefs,2009,0,27
11,3-7,3,7,Kansas City Chiefs,2009,0,26
10,2-7,2,7,Kansas City Chiefs,2009,0,27
9,1-7,1,7,Kansas City Chiefs,2009,0,28
8,1-6,1,6,Kansas City Chiefs,2009,0,28
7,1-6,1,6,Kansas City Chiefs,2009,0,28
6,1-5,1,5,Kansas City Chiefs,2009,0,28
5,0-5,0,5,Kansas City Chiefs,2009,0,30
4,0-4,0,4,Kansas City Chiefs,2009,0,30
3,0-3,0,3,Kansas City Chiefs,2009,0,30
2,0-2,0,2,Kansas City Chiefs,2009,0,30
1,0-1,0,1,Kansas City Chiefs,2009,0,30
0,2-14,2,14,Kansas City Chiefs,2009,0,29
Preseason,2-14,2,14,Kansas City Chiefs,2009,0,29
17,2-14,2,14,Kansas City Chiefs,2012,0,32
16,2-13,2,13,Kansas City Chiefs,2012,0,32
15,2-12,2,12,Kansas City Chiefs,2012,0,32
14,2-11,2,11,Kansas City Chiefs,2012,0,32
13,2-10,2,10,Kansas City Chiefs,2012,0,31
12,1-10,1,10,Kansas City Chiefs,2012,0,32
11,1-9,1,9,Kansas City Chiefs,2012,0,32
10,1-8,1,8,Kansas City Chiefs,2012,0,32
9,1-7,1,7,Kansas City Chiefs,2012,0,32
8,1-6,1,6,Kansas City Chiefs,2012,0,32
7,1-5,1,5,Kansas City Chiefs,2012,0,32
6,1-5,1,5,Kansas City Chiefs,2012,0,32
5,1-4,1,4,Kansas City Chiefs,2012,0,30
4,1-3,1,3,Kansas City Chiefs,2012,0,27
3,1-2,1,2,Kansas City Chiefs,2012,0,26
2,0-2,0,2,Kansas City Chiefs,2012,0,28
1,0-1,0,1,Kansas City Chiefs,2012,0,19
0,7-9,7,9,Kansas City Chiefs,2012,0,17
Preseason,7-9,7,9,Kansas City Chiefs,2012,0,17
17,11-5,11,5,Kansas City Chiefs,2013,0,10
16,11-4,11,4,Kansas City Chiefs,2013,0,10
15,11-3,11,3,Kansas City Chiefs,2013,0,6
14,10-3,10,3,Kansas City Chiefs,2013,0,7
13,9-3,9,3,Kansas City Chiefs,2013,0,7
12,9-2,9,2,Kansas City Chiefs,2013,0,6
11,9-1,9,1,Kansas City Chiefs,2013,0,3
10,9-0,9,0,Kansas City Chiefs,2013,0,1
9,9-0,9,0,Kansas City Chiefs,2013,0,1
8,8-0,8,0,Kansas City Chiefs,2013,0,1
7,7-0,7,0,Kansas City Chiefs,2013,0,1
6,6-0,6,0,Kansas City Chiefs,2013,0,2
5,5-0,5,0,Kansas City Chiefs,2013,0,3
4,4-0,4,0,Kansas City Chiefs,2013,0,5
3,3-0,3,0,Kansas City Chiefs,2013,0,8
2,2-0,2,0,Kansas City Chiefs,2013,0,13
1,1-0,1,0,Kansas City Chiefs,2013,0,20
0,2-14,2,14,Kansas City Chiefs,2013,0,19
Preseason,2-14,2,14,Kansas City Chiefs,2013,0,22
17,9-7,9,7,Kansas City Chiefs,2014,0,13
16,8-7,8,7,Kansas City Chiefs,2014,0,14
15,8-6,8,6,Kansas City Chiefs,2014,0,13
14,7-6,7,6,Kansas City Chiefs,2014,0,14
13,7-5,7,5,Kansas City Chiefs,2014,0,14
12,7-4,7,4,Kansas City Chiefs,2014,0,12
11,7-3,7,3,Kansas City Chiefs,2014,0,5
10,6-3,6,3,Kansas City Chiefs,2014,0,10
9,5-3,5,3,Kansas City Chiefs,2014,0,12
8,4-3,4,3,Kansas City Chiefs,2014,0,15
7,3-3,3,3,Kansas City Chiefs,2014,0,14
6,2-3,2,3,Kansas City Chiefs,2014,0,18
5,2-3,2,3,Kansas City Chiefs,2014,0,19
4,2-2,2,2,Kansas City Chiefs,2014,0,14
3,1-2,1,2,Kansas City Chiefs,2014,0,22
2,0-2,0,2,Kansas City Chiefs,2014,0,27
1,0-1,0,1,Kansas City Chiefs,2014,0,25
0,11-5,11,5,Kansas City Chiefs,2014,0,16
Preseason,11-5,11,5,Kansas City Chiefs,2014,0,15
17,11-5,11,5,Kansas City Chiefs,2015,0,8
16,10-5,10,5,Kansas City Chiefs,2015,0,7
15,9-5,9,5,Kansas City Chiefs,2015,0,9
14,8-5,8,5,Kansas City Chiefs,2015,0,9
13,7-5,7,5,Kansas City Chiefs,2015,0,9
12,6-5,6,5,Kansas City Chiefs,2015,0,10
11,5-5,5,5,Kansas City Chiefs,2015,0,13
10,4-5,4,5,Kansas City Chiefs,2015,0,15
9,3-5,3,5,Kansas City Chiefs,2015,0,19
8,3-5,3,5,Kansas City Chiefs,2015,0,20
7,2-5,2,5,Kansas City Chiefs,2015,0,22
6,1-5,1,5,Kansas City Chiefs,2015,0,29
5,1-4,1,4,Kansas City Chiefs,2015,0,19
4,1-3,1,3,Kansas City Chiefs,2015,0,18
3,1-2,1,2,Kansas City Chiefs,2015,0,12
2,1-1,1,1,Kansas City Chiefs,2015,0,10
1,1-0,1,0,Kansas City Chiefs,2015,0,7
0,9-7,9,7,Kansas City Chiefs,2015,0,14
Preseason,9-7,9,7,Kansas City Chiefs,2015,0,14
17,6-10,6,10,Miami Dolphins,2006,0,24
16,6-9,6,9,Miami Dolphins,2006,0,23
15,6-8,6,8,Miami Dolphins,2006,0,21
14,6-7,6,7,Miami Dolphins,2006,0,18
13,5-7,5,7,Miami Dolphins,2006,0,20
12,5-6,5,6,Miami Dolphins,2006,0,16
11,4-6,4,6,Miami Dolphins,2006,0,19
10,3-6,3,6,Miami Dolphins,2006,0,21
9,2-6,2,6,Miami Dolphins,2006,0,25
8,1-6,1,6,Miami Dolphins,2006,0,31
7,1-6,1,6,Miami Dolphins,2006,0,29
6,1-5,1,5,Miami Dolphins,2006,0,27
5,1-4,1,4,Miami Dolphins,2006,0,25
4,1-3,1,3,Miami Dolphins,2006,0,23
3,1-2,1,2,Miami Dolphins,2006,0,21
2,0-2,0,2,Miami Dolphins,2006,0,21
1,0-1,0,1,Miami Dolphins,2006,0,16
0,9-7,9,7,Miami Dolphins,2006,0,9
Preseason,9-7,9,7,Miami Dolphins,2006,0,8
17,1-15,1,15,Miami Dolphins,2007,0,32
16,1-14,1,14,Miami Dolphins,2007,0,32
15,1-13,1,13,Miami Dolphins,2007,0,32
14,0-13,0,13,Miami Dolphins,2007,0,32
13,0-12,0,12,Miami Dolphins,2007,0,32
12,0-11,0,11,Miami Dolphins,2007,0,32
11,0-10,0,10,Miami Dolphins,2007,0,32
10,0-9,0,9,Miami Dolphins,2007,0,32
9,0-8,0,8,Miami Dolphins,2007,0,32
8,0-8,0,8,Miami Dolphins,2007,0,32
7,0-7,0,7,Miami Dolphins,2007,0,32
6,0-6,0,6,Miami Dolphins,2007,0,32
5,0-5,0,5,Miami Dolphins,2007,0,32
4,0-4,0,4,Miami Dolphins,2007,0,31
3,0-3,0,3,Miami Dolphins,2007,0,31
2,0-2,0,2,Miami Dolphins,2007,0,28
1,0-1,0,1,Miami Dolphins,2007,0,27
0,6-10,6,10,Miami Dolphins,2007,0,20
Preseason,6-10,6,10,Miami Dolphins,2007,0,26
17,11-5,11,5,Miami Dolphins,2008,0,8
16,10-5,10,5,Miami Dolphins,2008,0,9
15,9-5,9,5,Miami Dolphins,2008,0,11
14,8-5,8,5,Miami Dolphins,2008,0,12
13,7-5,7,5,Miami Dolphins,2008,0,16
12,6-5,6,5,Miami Dolphins,2008,0,14
11,6-4,6,4,Miami Dolphins,2008,0,12
10,5-4,5,4,Miami Dolphins,2008,0,15
9,4-4,4,4,Miami Dolphins,2008,0,17
8,3-4,3,4,Miami Dolphins,2008,0,24
7,2-4,2,4,Miami Dolphins,2008,0,26
6,2-3,2,3,Miami Dolphins,2008,0,24
5,2-2,2,2,Miami Dolphins,2008,0,23
4,1-2,1,2,Miami Dolphins,2008,0,26
