week,record,n_wins,n_loses,team,year,n_ties,rank,Previous_Rank,Rank_change
9,5-3,5,3,Indianapolis Colts,2012,0,11,15,-4
8,4-3,4,3,Indianapolis Colts,2012,0,15,23,-8
7,3-3,3,3,Indianapolis Colts,2012,0,23,26,-3
6,2-3,2,3,Indianapolis Colts,2012,0,26,22,4
5,2-2,2,2,Indianapolis Colts,2012,0,22,31,-9
4,1-2,1,2,Indianapolis Colts,2012,0,31,31,0
3,1-2,1,2,Indianapolis Colts,2012,0,31,27,4
2,1-1,1,1,Indianapolis Colts,2012,0,27,32,-5
1,0-1,0,1,Indianapolis Colts,2012,0,32,32,0
0,2-14,2,14,Indianapolis Colts,2012,0,32,0,32
17,11-5,11,5,Indianapolis Colts,2013,0,8,8,0
16,10-5,10,5,Indianapolis Colts,2013,0,8,10,-2
15,9-5,9,5,Indianapolis Colts,2013,0,10,11,-1
14,8-5,8,5,Indianapolis Colts,2013,0,11,9,2
13,8-4,8,4,Indianapolis Colts,2013,0,9,10,-1
12,7-4,7,4,Indianapolis Colts,2013,0,10,7,3
11,7-3,7,3,Indianapolis Colts,2013,0,7,7,0
10,6-3,6,3,Indianapolis Colts,2013,0,7,2,5
9,6-2,6,2,Indianapolis Colts,2013,0,2,3,-1
8,5-2,5,2,Indianapolis Colts,2013,0,3,2,1
7,5-2,5,2,Indianapolis Colts,2013,0,2,6,-4
6,4-2,4,2,Indianapolis Colts,2013,0,6,4,2
5,4-1,4,1,Indianapolis Colts,2013,0,4,6,-2
4,3-1,3,1,Indianapolis Colts,2013,0,6,9,-3
3,2-1,2,1,Indianapolis Colts,2013,0,9,14,-5
2,1-1,1,1,Indianapolis Colts,2013,0,14,12,2
1,1-0,1,0,Indianapolis Colts,2013,0,12,11,1
0,11-5,11,5,Indianapolis Colts,2013,0,11,0,11
17,11-5,11,5,Indianapolis Colts,2014,0,8,10,-2
16,10-5,10,5,Indianapolis Colts,2014,0,10,7,3
15,10-4,10,4,Indianapolis Colts,2014,0,7,6,1
14,9-4,9,4,Indianapolis Colts,2014,0,6,6,0
13,8-4,8,4,Indianapolis Colts,2014,0,6,8,-2
12,7-4,7,4,Indianapolis Colts,2014,0,8,9,-1
11,6-4,6,4,Indianapolis Colts,2014,0,9,7,2
10,6-3,6,3,Indianapolis Colts,2014,0,7,5,2
9,6-3,6,3,Indianapolis Colts,2014,0,5,9,-4
8,5-3,5,3,Indianapolis Colts,2014,0,9,4,5
7,5-2,5,2,Indianapolis Colts,2014,0,4,8,-4
6,4-2,4,2,Indianapolis Colts,2014,0,8,8,0
5,3-2,3,2,Indianapolis Colts,2014,0,8,11,-3
4,2-2,2,2,Indianapolis Colts,2014,0,11,14,-3
3,1-2,1,2,Indianapolis Colts,2014,0,14,15,-1
2,0-2,0,2,Indianapolis Colts,2014,0,15,10,5
1,0-1,0,1,Indianapolis Colts,2014,0,10,8,2
0,11-5,11,5,Indianapolis Colts,2014,0,8,0,8
17,8-8,8,8,Indianapolis Colts,2015,0,17,18,-1
16,7-8,7,8,Indianapolis Colts,2015,0,18,21,-3
15,6-8,6,8,Indianapolis Colts,2015,0,21,20,1
14,6-7,6,7,Indianapolis Colts,2015,0,20,16,4
13,6-6,6,6,Indianapolis Colts,2015,0,16,14,2
12,6-5,6,5,Indianapolis Colts,2015,0,14,10,4
11,5-5,5,5,Indianapolis Colts,2015,0,10,17,-7
10,4-5,4,5,Indianapolis Colts,2015,0,17,14,3
9,4-5,4,5,Indianapolis Colts,2015,0,14,22,-8
8,3-5,3,5,Indianapolis Colts,2015,0,22,18,4
7,3-4,3,4,Indianapolis Colts,2015,0,18,11,7
6,3-3,3,3,Indianapolis Colts,2015,0,11,13,-2
5,3-2,3,2,Indianapolis Colts,2015,0,13,16,-3
4,2-2,2,2,Indianapolis Colts,2015,0,16,14,2
3,1-2,1,2,Indianapolis Colts,2015,0,14,18,-4
2,0-2,0,2,Indianapolis Colts,2015,0,18,11,7
1,0-1,0,1,Indianapolis Colts,2015,0,11,4,7
0,11-5,11,5,Indianapolis Colts,2015,0,4,0,4
17,8-8,8,8,Jacksonville Jaguars,2006,0,17,13,4
16,8-7,8,7,Jacksonville Jaguars,2006,0,13,12,1
15,8-6,8,6,Jacksonville Jaguars,2006,0,12,9,3
14,8-5,8,5,Jacksonville Jaguars,2006,0,9,10,-1
13,7-5,7,5,Jacksonville Jaguars,2006,0,10,13,-3
12,6-5,6,5,Jacksonville Jaguars,2006,0,13,9,4
11,6-4,6,4,Jacksonville Jaguars,2006,0,9,16,-7
10,5-4,5,4,Jacksonville Jaguars,2006,0,16,10,6
9,5-3,5,3,Jacksonville Jaguars,2006,0,10,12,-2
8,4-3,4,3,Jacksonville Jaguars,2006,0,12,16,-4
7,3-3,3,3,Jacksonville Jaguars,2006,0,16,13,3
6,3-2,3,2,Jacksonville Jaguars,2006,0,13,11,2
5,3-2,3,2,Jacksonville Jaguars,2006,0,11,12,-1
4,2-2,2,2,Jacksonville Jaguars,2006,0,12,7,5
3,2-1,2,1,Jacksonville Jaguars,2006,0,7,4,3
2,2-0,2,0,Jacksonville Jaguars,2006,0,4,5,-1
1,1-0,1,0,Jacksonville Jaguars,2006,0,5,11,-6
0,12-4,12,4,Jacksonville Jaguars,2006,0,11,0,11
17,5-11,5,11,Jacksonville Jaguars,2008,0,25,25,0
16,5-10,5,10,Jacksonville Jaguars,2008,0,25,23,2
15,5-9,5,9,Jacksonville Jaguars,2008,0,23,25,-2
14,4-9,4,9,Jacksonville Jaguars,2008,0,25,24,1
13,4-8,4,8,Jacksonville Jaguars,2008,0,24,24,0
12,4-7,4,7,Jacksonville Jaguars,2008,0,24,23,1
11,4-6,4,6,Jacksonville Jaguars,2008,0,23,22,1
10,4-5,4,5,Jacksonville Jaguars,2008,0,22,23,-1
9,3-5,3,5,Jacksonville Jaguars,2008,0,23,20,3
8,3-4,3,4,Jacksonville Jaguars,2008,0,20,12,8
7,3-3,3,3,Jacksonville Jaguars,2008,0,12,14,-2
6,3-3,3,3,Jacksonville Jaguars,2008,0,14,17,-3
5,2-3,2,3,Jacksonville Jaguars,2008,0,17,12,5
4,2-2,2,2,Jacksonville Jaguars,2008,0,12,14,-2
3,1-2,1,2,Jacksonville Jaguars,2008,0,14,18,-4
2,0-2,0,2,Jacksonville Jaguars,2008,0,18,10,8
1,0-1,0,1,Jacksonville Jaguars,2008,0,10,5,5
0,11-5,11,5,Jacksonville Jaguars,2008,0,5,0,5
17,7-9,7,9,Jacksonville Jaguars,2009,0,23,22,1
16,7-8,7,8,Jacksonville Jaguars,2009,0,22,18,4
15,7-7,7,7,Jacksonville Jaguars,2009,0,18,15,3
14,7-6,7,6,Jacksonville Jaguars,2009,0,15,13,2
13,7-5,7,5,Jacksonville Jaguars,2009,0,13,17,-4
12,6-5,6,5,Jacksonville Jaguars,2009,0,17,14,3
11,6-4,6,4,Jacksonville Jaguars,2009,0,14,17,-3
10,5-4,5,4,Jacksonville Jaguars,2009,0,17,22,-5
9,4-4,4,4,Jacksonville Jaguars,2009,0,22,21,1
8,3-4,3,4,Jacksonville Jaguars,2009,0,21,21,0
7,3-3,3,3,Jacksonville Jaguars,2009,0,21,21,0
6,3-3,3,3,Jacksonville Jaguars,2009,0,21,21,0
5,2-3,2,3,Jacksonville Jaguars,2009,0,21,18,3
4,2-2,2,2,Jacksonville Jaguars,2009,0,18,22,-4
3,1-2,1,2,Jacksonville Jaguars,2009,0,22,27,-5
2,0-2,0,2,Jacksonville Jaguars,2009,0,27,25,2
1,0-1,0,1,Jacksonville Jaguars,2009,0,25,25,0
0,5-11,5,11,Jacksonville Jaguars,2009,0,25,0,25
17,8-8,8,8,Jacksonville Jaguars,2010,0,16,15,1
16,8-7,8,7,Jacksonville Jaguars,2010,0,15,14,1
15,8-6,8,6,Jacksonville Jaguars,2010,0,14,11,3
14,8-5,8,5,Jacksonville Jaguars,2010,0,11,12,-1
13,7-5,7,5,Jacksonville Jaguars,2010,0,12,16,-4
12,6-5,6,5,Jacksonville Jaguars,2010,0,16,15,1
11,6-4,6,4,Jacksonville Jaguars,2010,0,15,18,-3
10,5-4,5,4,Jacksonville Jaguars,2010,0,18,20,-2
9,4-4,4,4,Jacksonville Jaguars,2010,0,20,19,1
8,4-4,4,4,Jacksonville Jaguars,2010,0,19,25,-6
7,3-4,3,4,Jacksonville Jaguars,2010,0,25,25,0
6,3-3,3,3,Jacksonville Jaguars,2010,0,25,18,7
5,3-2,3,2,Jacksonville Jaguars,2010,0,18,22,-4
4,2-2,2,2,Jacksonville Jaguars,2010,0,22,26,-4
3,1-2,1,2,Jacksonville Jaguars,2010,0,26,25,1
2,1-1,1,1,Jacksonville Jaguars,2010,0,25,24,1
1,1-0,1,0,Jacksonville Jaguars,2010,0,24,25,-1
0,7-9,7,9,Jacksonville Jaguars,2010,0,25,0,25
17,5-11,5,11,Jacksonville Jaguars,2011,0,27,27,0
16,4-11,4,11,Jacksonville Jaguars,2011,0,27,27,0
15,4-10,4,10,Jacksonville Jaguars,2011,0,27,26,1
14,4-9,4,9,Jacksonville Jaguars,2011,0,26,29,-3
13,3-9,3,9,Jacksonville Jaguars,2011,0,29,29,0
12,3-8,3,8,Jacksonville Jaguars,2011,0,29,28,1
11,3-7,3,7,Jacksonville Jaguars,2011,0,28,25,3
10,3-6,3,6,Jacksonville Jaguars,2011,0,25,27,-2
9,2-6,2,6,Jacksonville Jaguars,2011,0,27,26,1
8,2-6,2,6,Jacksonville Jaguars,2011,0,26,25,1
7,2-5,2,5,Jacksonville Jaguars,2011,0,25,29,-4
6,1-5,1,5,Jacksonville Jaguars,2011,0,29,29,0
5,1-4,1,4,Jacksonville Jaguars,2011,0,29,26,3
4,1-3,1,3,Jacksonville Jaguars,2011,0,26,25,1
3,1-2,1,2,Jacksonville Jaguars,2011,0,25,21,4
2,1-1,1,1,Jacksonville Jaguars,2011,0,21,15,6
1,1-0,1,0,Jacksonville Jaguars,2011,0,15,19,-4
0,8-8,8,8,Jacksonville Jaguars,2011,0,19,0,19
17,4-12,4,12,Jacksonville Jaguars,2013,0,29,29,0
16,4-11,4,11,Jacksonville Jaguars,2013,0,29,29,0
15,4-10,4,10,Jacksonville Jaguars,2013,0,29,29,0
14,4-9,4,9,Jacksonville Jaguars,2013,0,29,31,-2
13,3-9,3,9,Jacksonville Jaguars,2013,0,31,31,0
12,2-9,2,9,Jacksonville Jaguars,2013,0,31,32,-1
11,1-9,1,9,Jacksonville Jaguars,2013,0,32,32,0
10,1-8,1,8,Jacksonville Jaguars,2013,0,32,32,0
9,0-8,0,8,Jacksonville Jaguars,2013,0,32,32,0
8,0-8,0,8,Jacksonville Jaguars,2013,0,32,32,0
7,0-7,0,7,Jacksonville Jaguars,2013,0,32,32,0
6,0-6,0,6,Jacksonville Jaguars,2013,0,32,32,0
5,0-5,0,5,Jacksonville Jaguars,2013,0,32,32,0
4,0-4,0,4,Jacksonville Jaguars,2013,0,32,32,0
3,0-3,0,3,Jacksonville Jaguars,2013,0,32,32,0
2,0-2,0,2,Jacksonville Jaguars,2013,0,32,32,0
1,0-1,0,1,Jacksonville Jaguars,2013,0,32,29,3
0,2-14,2,14,Jacksonville Jaguars,2013,0,29,0,29
17,2-14,2,14,Jacksonville Jaguars,2012,0,31,31,0
16,2-13,2,13,Jacksonville Jaguars,2012,0,31,31,0
15,2-12,2,12,Jacksonville Jaguars,2012,0,31,31,0
14,2-11,2,11,Jacksonville Jaguars,2012,0,31,32,-1
13,2-10,2,10,Jacksonville Jaguars,2012,0,32,31,1
12,2-9,2,9,Jacksonville Jaguars,2012,0,31,31,0
11,1-9,1,9,Jacksonville Jaguars,2012,0,31,31,0
10,1-8,1,8,Jacksonville Jaguars,2012,0,31,31,0
9,1-7,1,7,Jacksonville Jaguars,2012,0,31,31,0
8,1-6,1,6,Jacksonville Jaguars,2012,0,31,31,0
7,1-5,1,5,Jacksonville Jaguars,2012,0,31,31,0
6,1-4,1,4,Jacksonville Jaguars,2012,0,31,31,0
5,1-4,1,4,Jacksonville Jaguars,2012,0,31,30,1
4,1-3,1,3,Jacksonville Jaguars,2012,0,30,30,0
3,1-2,1,2,Jacksonville Jaguars,2012,0,30,31,-1
2,0-2,0,2,Jacksonville Jaguars,2012,0,31,29,2
1,0-1,0,1,Jacksonville Jaguars,2012,0,29,29,0
0,5-11,5,11,Jacksonville Jaguars,2012,0,29,0,29
17,11-5,11,5,Jacksonville Jaguars,2007,0,4,4,0
16,11-4,11,4,Jacksonville Jaguars,2007,0,4,5,-1
15,10-4,10,4,Jacksonville Jaguars,2007,0,5,5,0
14,9-4,9,4,Jacksonville Jaguars,2007,0,5,6,-1
13,8-4,8,4,Jacksonville Jaguars,2007,0,6,5,1
12,8-3,8,3,Jacksonville Jaguars,2007,0,5,5,0
11,7-3,7,3,Jacksonville Jaguars,2007,0,5,6,-1
10,6-3,6,3,Jacksonville Jaguars,2007,0,6,10,-4
9,5-3,5,3,Jacksonville Jaguars,2007,0,10,8,2
8,5-2,5,2,Jacksonville Jaguars,2007,0,8,7,1
7,4-2,4,2,Jacksonville Jaguars,2007,0,7,5,2
6,4-1,4,1,Jacksonville Jaguars,2007,0,5,6,-1
5,3-1,3,1,Jacksonville Jaguars,2007,0,6,8,-2
4,2-1,2,1,Jacksonville Jaguars,2007,0,8,10,-2
3,2-1,2,1,Jacksonville Jaguars,2007,0,10,17,-7
2,1-1,1,1,Jacksonville Jaguars,2007,0,17,16,1
1,0-1,0,1,Jacksonville Jaguars,2007,0,16,12,4
0,8-8,8,8,Jacksonville Jaguars,2007,0,12,0,12
17,3-13,3,13,Jacksonville Jaguars,2014,0,30,30,0
16,3-12,3,12,Jacksonville Jaguars,2014,0,30,30,0
15,2-12,2,12,Jacksonville Jaguars,2014,0,30,31,-1
14,2-11,2,11,Jacksonville Jaguars,2014,0,31,31,0
13,2-10,2,10,Jacksonville Jaguars,2014,0,31,32,-1
12,1-10,1,10,Jacksonville Jaguars,2014,0,32,31,1
11,1-9,1,9,Jacksonville Jaguars,2014,0,31,31,0
10,1-9,1,9,Jacksonville Jaguars,2014,0,31,31,0
9,1-8,1,8,Jacksonville Jaguars,2014,0,31,31,0
8,1-7,1,7,Jacksonville Jaguars,2014,0,31,31,0
7,1-6,1,6,Jacksonville Jaguars,2014,0,31,32,-1
6,0-6,0,6,Jacksonville Jaguars,2014,0,32,31,1
5,0-5,0,5,Jacksonville Jaguars,2014,0,31,31,0
4,0-4,0,4,Jacksonville Jaguars,2014,0,31,32,-1
3,0-3,0,3,Jacksonville Jaguars,2014,0,32,31,1
2,0-2,0,2,Jacksonville Jaguars,2014,0,31,30,1
1,0-1,0,1,Jacksonville Jaguars,2014,0,30,31,-1
0,4-12,4,12,Jacksonville Jaguars,2014,0,31,0,31
17,5-11,5,11,Jacksonville Jaguars,2015,0,27,26,1
16,5-10,5,10,Jacksonville Jaguars,2015,0,26,20,6
15,5-9,5,9,Jacksonville Jaguars,2015,0,20,21,-1
14,5-8,5,8,Jacksonville Jaguars,2015,0,21,29,-8
13,4-8,4,8,Jacksonville Jaguars,2015,0,29,28,1
12,4-7,4,7,Jacksonville Jaguars,2015,0,28,27,1
11,4-6,4,6,Jacksonville Jaguars,2015,0,27,26,1
10,3-6,3,6,Jacksonville Jaguars,2015,0,26,31,-5
9,2-6,2,6,Jacksonville Jaguars,2015,0,31,29,2
8,2-5,2,5,Jacksonville Jaguars,2015,0,29,32,-3
7,2-5,2,5,Jacksonville Jaguars,2015,0,32,32,0
6,1-5,1,5,Jacksonville Jaguars,2015,0,32,32,0
5,1-4,1,4,Jacksonville Jaguars,2015,0,32,31,1
4,1-3,1,3,Jacksonville Jaguars,2015,0,31,29,2
3,1-2,1,2,Jacksonville Jaguars,2015,0,29,31,-2
2,1-1,1,1,Jacksonville Jaguars,2015,0,31,30,1
1,0-1,0,1,Jacksonville Jaguars,2015,0,30,31,-1
0,3-13,3,13,Jacksonville Jaguars,2015,0,31,0,31
17,9-7,9,7,Kansas City Chiefs,2006,0,10,14,-4
16,8-7,8,7,Kansas City Chiefs,2006,0,14,19,-5
15,7-7,7,7,Kansas City Chiefs,2006,0,19,15,4
14,7-6,7,6,Kansas City Chiefs,2006,0,15,12,3
13,7-5,7,5,Kansas City Chiefs,2006,0,12,7,5
12,7-4,7,4,Kansas City Chiefs,2006,0,7,10,-3
11,6-4,6,4,Kansas City Chiefs,2006,0,10,13,-3
10,5-4,5,4,Kansas City Chiefs,2006,0,13,11,2
9,5-3,5,3,Kansas City Chiefs,2006,0,11,14,-3
8,4-3,4,3,Kansas City Chiefs,2006,0,14,19,-5
7,3-3,3,3,Kansas City Chiefs,2006,0,19,20,-1
6,2-3,2,3,Kansas City Chiefs,2006,0,20,19,1
5,2-2,2,2,Kansas City Chiefs,2006,0,19,22,-3
4,1-2,1,2,Kansas City Chiefs,2006,0,22,24,-2
3,0-2,0,2,Kansas City Chiefs,2006,0,24,26,-2
2,0-2,0,2,Kansas City Chiefs,2006,0,26,22,4
1,0-1,0,1,Kansas City Chiefs,2006,0,22,20,2
0,10-6,10,6,Kansas City Chiefs,2006,0,20,0,20
17,4-12,4,12,Kansas City Chiefs,2007,0,28,28,0
16,4-11,4,11,Kansas City Chiefs,2007,0,28,26,2
15,4-10,4,10,Kansas City Chiefs,2007,0,26,27,-1
14,4-9,4,9,Kansas City Chiefs,2007,0,27,27,0
13,4-8,4,8,Kansas City Chiefs,2007,0,27,24,3
12,4-7,4,7,Kansas City Chiefs,2007,0,24,21,3
11,4-6,4,6,Kansas City Chiefs,2007,0,21,20,1
10,4-5,4,5,Kansas City Chiefs,2007,0,20,15,5
9,4-4,4,4,Kansas City Chiefs,2007,0,15,11,4
8,4-3,4,3,Kansas City Chiefs,2007,0,11,13,-2
7,4-3,4,3,Kansas City Chiefs,2007,0,13,16,-3
6,3-3,3,3,Kansas City Chiefs,2007,0,16,25,-9
5,2-3,2,3,Kansas City Chiefs,2007,0,25,21,4
4,2-2,2,2,Kansas City Chiefs,2007,0,21,28,-7
3,1-2,1,2,Kansas City Chiefs,2007,0,28,31,-3
2,0-2,0,2,Kansas City Chiefs,2007,0,31,30,1
1,0-1,0,1,Kansas City Chiefs,2007,0,30,26,4
0,9-7,9,7,Kansas City Chiefs,2007,0,26,0,26
17,7-9,7,9,Kansas City Chiefs,2011,0,22,23,-1
16,6-9,6,9,Kansas City Chiefs,2011,0,23,22,1
15,6-8,6,8,Kansas City Chiefs,2011,0,22,25,-3
14,5-8,5,8,Kansas City Chiefs,2011,0,25,23,2
13,5-7,5,7,Kansas City Chiefs,2011,0,23,21,2
12,4-7,4,7,Kansas City Chiefs,2011,0,21,22,-1
11,4-6,4,6,Kansas City Chiefs,2011,0,22,21,1
10,4-5,4,5,Kansas City Chiefs,2011,0,21,19,2
9,4-4,4,4,Kansas City Chiefs,2011,0,19,18,1
8,4-3,4,3,Kansas City Chiefs,2011,0,18,21,-3
7,3-3,3,3,Kansas City Chiefs,2011,0,21,24,-3
6,2-3,2,3,Kansas City Chiefs,2011,0,24,25,-1
5,2-3,2,3,Kansas City Chiefs,2011,0,25,28,-3
4,1-3,1,3,Kansas City Chiefs,2011,0,28,32,-4
3,0-3,0,3,Kansas City Chiefs,2011,0,32,31,1
2,0-2,0,2,Kansas City Chiefs,2011,0,31,21,10
1,0-1,0,1,Kansas City Chiefs,2011,0,21,18,3
0,10-6,10,6,Kansas City Chiefs,2011,0,18,0,18
17,10-6,10,6,Kansas City Chiefs,2010,0,11,11,0
16,10-5,10,5,Kansas City Chiefs,2010,0,11,11,0
15,9-5,9,5,Kansas City Chiefs,2010,0,11,14,-3
14,8-5,8,5,Kansas City Chiefs,2010,0,14,11,3
13,8-4,8,4,Kansas City Chiefs,2010,0,11,12,-1
12,7-4,7,4,Kansas City Chiefs,2010,0,12,13,-1
11,6-4,6,4,Kansas City Chiefs,2010,0,13,15,-2
10,5-4,5,4,Kansas City Chiefs,2010,0,15,14,1
9,5-3,5,3,Kansas City Chiefs,2010,0,14,11,3
8,5-2,5,2,Kansas City Chiefs,2010,0,11,12,-1
7,4-2,4,2,Kansas City Chiefs,2010,0,12,13,-1
6,3-2,3,2,Kansas City Chiefs,2010,0,13,10,3
5,3-1,3,1,Kansas City Chiefs,2010,0,10,10,0
4,3-0,3,0,Kansas City Chiefs,2010,0,10,15,-5
3,3-0,3,0,Kansas City Chiefs,2010,0,15,20,-5
2,2-0,2,0,Kansas City Chiefs,2010,0,20,23,-3
1,1-0,1,0,Kansas City Chiefs,2010,0,23,27,-4
0,4-12,4,12,Kansas City Chiefs,2010,0,27,0,27
17,2-14,2,14,Kansas City Chiefs,2008,0,30,30,0
16,2-13,2,13,Kansas City Chiefs,2008,0,30,28,2
15,2-12,2,12,Kansas City Chiefs,2008,0,28,27,1
14,2-11,2,11,Kansas City Chiefs,2008,0,27,27,0
13,2-10,2,10,Kansas City Chiefs,2008,0,27,31,-4
12,1-10,1,10,Kansas City Chiefs,2008,0,31,30,1
11,1-9,1,9,Kansas City Chiefs,2008,0,30,29,1
10,1-8,1,8,Kansas City Chiefs,2008,0,29,31,-2
9,1-7,1,7,Kansas City Chiefs,2008,0,31,30,1
8,1-6,1,6,Kansas City Chiefs,2008,0,30,30,0
7,1-5,1,5,Kansas City Chiefs,2008,0,30,30,0
6,1-4,1,4,Kansas City Chiefs,2008,0,30,29,1
5,1-4,1,4,Kansas City Chiefs,2008,0,29,29,0
4,1-3,1,3,Kansas City Chiefs,2008,0,29,31,-2
3,0-3,0,3,Kansas City Chiefs,2008,0,31,31,0
2,0-2,0,2,Kansas City Chiefs,2008,0,31,29,2
1,0-1,0,1,Kansas City Chiefs,2008,0,29,31,-2
0,4-12,4,12,Kansas City Chiefs,2008,0,31,0,31
17,4-12,4,12,Kansas City Chiefs,2009,0,28,30,-2
16,3-12,3,12,Kansas City Chiefs,2009,0,30,29,1
15,3-11,3,11,Kansas City Chiefs,2009,0,29,28,1
14,3-10,3,10,Kansas City Chiefs,2009,0,28,28,0
13,3-9,3,9,Kansas City Chiefs,2009,0,28,27,1
12,3-8,3,8,Kansas City Chiefs,2009,0,27,26,1
11,3-7,3,7,Kansas City Chiefs,2009,0,26,27,-1
10,2-7,2,7,Kansas City Chiefs,2009,0,27,28,-1
9,1-7,1,7,Kansas City Chiefs,2009,0,28,28,0
8,1-6,1,6,Kansas City Chiefs,2009,0,28,28,0
7,1-6,1,6,Kansas City Chiefs,2009,0,28,28,0
6,1-5,1,5,Kansas City Chiefs,2009,0,28,30,-2
5,0-5,0,5,Kansas City Chiefs,2009,0,30,30,0
4,0-4,0,4,Kansas City Chiefs,2009,0,30,30,0
3,0-3,0,3,Kansas City Chiefs,2009,0,30,30,0
2,0-2,0,2,Kansas City Chiefs,2009,0,30,30,0
1,0-1,0,1,Kansas City Chiefs,2009,0,30,29,1
0,2-14,2,14,Kansas City Chiefs,2009,0,29,0,29
17,2-14,2,14,Kansas City Chiefs,2012,0,32,32,0
16,2-13,2,13,Kansas City Chiefs,2012,0,32,32,0
15,2-12,2,12,Kansas City Chiefs,2012,0,32,32,0
14,2-11,2,11,Kansas City Chiefs,2012,0,32,31,1
13,2-10,2,10,Kansas City Chiefs,2012,0,31,32,-1
12,1-10,1,10,Kansas City Chiefs,2012,0,32,32,0
11,1-9,1,9,Kansas City Chiefs,2012,0,32,32,0
10,1-8,1,8,Kansas City Chiefs,2012,0,32,32,0
9,1-7,1,7,Kansas City Chiefs,2012,0,32,32,0
8,1-6,1,6,Kansas City Chiefs,2012,0,32,32,0
7,1-5,1,5,Kansas City Chiefs,2012,0,32,32,0
6,1-5,1,5,Kansas City Chiefs,2012,0,32,30,2
5,1-4,1,4,Kansas City Chiefs,2012,0,30,27,3
4,1-3,1,3,Kansas City Chiefs,2012,0,27,26,1
3,1-2,1,2,Kansas City Chiefs,2012,0,26,28,-2
2,0-2,0,2,Kansas City Chiefs,2012,0,28,19,9
1,0-1,0,1,Kansas City Chiefs,2012,0,19,17,2
0,7-9,7,9,Kansas City Chiefs,2012,0,17,0,17
17,11-5,11,5,Kansas City Chiefs,2013,0,10,10,0
16,11-4,11,4,Kansas City Chiefs,2013,0,10,6,4
15,11-3,11,3,Kansas City Chiefs,2013,0,6,7,-1
14,10-3,10,3,Kansas City Chiefs,2013,0,7,7,0
13,9-3,9,3,Kansas City Chiefs,2013,0,7,6,1
12,9-2,9,2,Kansas City Chiefs,2013,0,6,3,3
11,9-1,9,1,Kansas City Chiefs,2013,0,3,1,2
10,9-0,9,0,Kansas City Chiefs,2013,0,1,1,0
9,9-0,9,0,Kansas City Chiefs,2013,0,1,1,0
8,8-0,8,0,Kansas City Chiefs,2013,0,1,1,0
7,7-0,7,0,Kansas City Chiefs,2013,0,1,2,-1
6,6-0,6,0,Kansas City Chiefs,2013,0,2,3,-1
5,5-0,5,0,Kansas City Chiefs,2013,0,3,5,-2
4,4-0,4,0,Kansas City Chiefs,2013,0,5,8,-3
3,3-0,3,0,Kansas City Chiefs,2013,0,8,13,-5
2,2-0,2,0,Kansas City Chiefs,2013,0,13,20,-7
1,1-0,1,0,Kansas City Chiefs,2013,0,20,19,1
0,2-14,2,14,Kansas City Chiefs,2013,0,19,0,19
17,9-7,9,7,Kansas City Chiefs,2014,0,13,14,-1
16,8-7,8,7,Kansas City Chiefs,2014,0,14,13,1
15,8-6,8,6,Kansas City Chiefs,2014,0,13,14,-1
14,7-6,7,6,Kansas City Chiefs,2014,0,14,14,0
13,7-5,7,5,Kansas City Chiefs,2014,0,14,12,2
12,7-4,7,4,Kansas City Chiefs,2014,0,12,5,7
11,7-3,7,3,Kansas City Chiefs,2014,0,5,10,-5
10,6-3,6,3,Kansas City Chiefs,2014,0,10,12,-2
9,5-3,5,3,Kansas City Chiefs,2014,0,12,15,-3
8,4-3,4,3,Kansas City Chiefs,2014,0,15,14,1
7,3-3,3,3,Kansas City Chiefs,2014,0,14,18,-4
6,2-3,2,3,Kansas City Chiefs,2014,0,18,19,-1
5,2-3,2,3,Kansas City Chiefs,2014,0,19,14,5
4,2-2,2,2,Kansas City Chiefs,2014,0,14,22,-8
3,1-2,1,2,Kansas City Chiefs,2014,0,22,27,-5
2,0-2,0,2,Kansas City Chiefs,2014,0,27,25,2
1,0-1,0,1,Kansas City Chiefs,2014,0,25,16,9
0,11-5,11,5,Kansas City Chiefs,2014,0,16,0,16
17,11-5,11,5,Kansas City Chiefs,2015,0,8,7,1
16,10-5,10,5,Kansas City Chiefs,2015,0,7,9,-2
15,9-5,9,5,Kansas City Chiefs,2015,0,9,9,0
14,8-5,8,5,Kansas City Chiefs,2015,0,9,9,0
13,7-5,7,5,Kansas City Chiefs,2015,0,9,10,-1
12,6-5,6,5,Kansas City Chiefs,2015,0,10,13,-3
11,5-5,5,5,Kansas City Chiefs,2015,0,13,15,-2
10,4-5,4,5,Kansas City Chiefs,2015,0,15,19,-4
9,3-5,3,5,Kansas City Chiefs,2015,0,19,20,-1
8,3-5,3,5,Kansas City Chiefs,2015,0,20,22,-2
7,2-5,2,5,Kansas City Chiefs,2015,0,22,29,-7
6,1-5,1,5,Kansas City Chiefs,2015,0,29,19,10
5,1-4,1,4,Kansas City Chiefs,2015,0,19,18,1
4,1-3,1,3,Kansas City Chiefs,2015,0,18,12,6
3,1-2,1,2,Kansas City Chiefs,2015,0,12,10,2
2,1-1,1,1,Kansas City Chiefs,2015,0,10,7,3
1,1-0,1,0,Kansas City Chiefs,2015,0,7,14,-7
0,9-7,9,7,Kansas City Chiefs,2015,0,14,0,14
17,6-10,6,10,Miami Dolphins,2006,0,24,23,1
16,6-9,6,9,Miami Dolphins,2006,0,23,21,2
15,6-8,6,8,Miami Dolphins,2006,0,21,18,3
14,6-7,6,7,Miami Dolphins,2006,0,18,20,-2
